_FIVETRAN_SYNCED,ACTIVE_IN_ACTIVE,ACTUAL_RISK_OF_THE_OBSERVATION,AOC_AS_PER_NEW_VIQ,AGE_2,AREA_OF_CONCERN,AUTHORITY,CAUSE_ANALYSIS,COUNTRY,CREW_NATIONALITY,DEFICIENCY_COUNT,DEFICIENCY_COUNT_FOR_BI,ELMER_ESTRELLA,FLEET_,IMMEDIATE_ACTION_TAKEN,IMO_NO,GROUP,INSPECTION_FROM_DATE,INSPECTION_TYPE,INSPECTOR,MARINE_MANAGER,MARINE_SUPERINTENDENT,NATIONALITY_OF_THE_CREW,NATURE_OF_DEFICIENCY,OWNER_GROUP,PERIOD,PORT_NAME,POTENTIAL_RISK_OF_THE_OBSERVATION,PSC_CATEGORY,PSC_CODE,PSC_SUB_CATEGORY,R_OWNERS,REFERENCE_CODE_1,REFERENCE_NO_,REGISTERED_OWNER_OF_THE_SHIP,REMARKS,RESIDUAL_RISK_AFTER_CA_,SHIPPALM_REF_,SUGGESTED_CORRECTIVE_ACTION,TECHNICAL_MANAGER,TECHNICAL_SUPERINTENDENT,HAND_OVER_DATE_MOD,VESSEL_NAME,VESSEL_TYPE,YARD,YEAR_BUILD,AGE_OF_VESSEL,STATUS,COLUMN_1,COLUMN_2,"""Dry/Wet""",VESSEL_TYPE_1,FLAG_STATE,ACTUAL_OWNERS,DETENTION,MANAGER_GROUP
2025-04-29T12:09:30.538Z,Active ,null,null,null,Ch VI/ Pollution prevention- (Garbage Management),Paris MOU,null,Canada,null,null,1,null,null,null,9953303,Fleet C,27-10-23,PSC ,"Mangat, Paramjeet",Ravi Sekhar ,Paurush Kumar Singh,Chinese,Excessive Garbage on board all garbage drums found full including those in engine room.,SUMEC,Q4 - 2023,Vancouver,null,Pollution Prevention - MARPOL Annex V,14501,Garbage shipboard handling,CL Yueyang Limited ,17,23PSC133,null,null,null,null,null,Umesh Iyengar,Karthik V,14-08-24,CL Shanggao,Bulk Carrier,"NEW DAYANG SHIPBUILDING CO., LTD., JIANGSU",null,1.81,null,null,null,Dry,Bulk Carrier,Hong Kong,Sumec Ocean Transportation Pte Ltd,null,SMSL
2025-04-29T12:09:30.537Z,Active ,null,null,null,NA,Tokyo MOU,NA,Indonesia,null,0,0,null,null,NA,9731200,Fleet E,15-10-23,PSC ,Deby Supriyanto,Ravi Sekhar ,Neeraj Arya,"Indian, Filipino",NA,Cobelfret,Q4 - 2023,Gresik,null,0,NA,0,Cobelfret Pte. Ltd.,NA,23PSC148,null,null,null,null,NA,Balji V,Kapil Verma,16-05-24,Lowlands Blue,Bulk Carrier,TSUNEISHI SHIPYARD,null,5.92,null,null,null,Dry,Bulk Carrier,Singapore,CLDN Cobelfret Pte Ltd,null,SMSL
2025-04-29T12:09:56.948Z,null,null,null,null,NA,Paris MOU,null,Netherlands,null,0,0,null,null,null,9399363,null,27-05-22,null,Port State Control (2018) 1st Edition (2018),Synergy Denmark,Synergy Denmark,Filipino,Nil findings,Maersk,Q2 - 2022,Rotterdam,null,null,null,null,null,null,589,null,null,null,null,null,Synergy Denmark,Synergy Denmark,01-05-25,Hulda Maersk,Tanker,STX Offshore and Shipbuilding,null,5.48,null,596,null,Wet,Tanker,Denmark,Maersk,null,SDAS
2025-04-29T12:09:56.965Z,null,null,null,null,null,Tokyo MOU,null,Singapore,null,1,1,null,null,null,9909754,null,06-01-23,null,null,null,null,null,"FIRE SAFETY/Remote Means of control (opening,pumps,ventilation etc.) Machinery spaces/Fuel oil isolation valve for generator no.1 unable to close during operational test and Crew not familiar with remote closing of fuel oil isolation valve of generators,resulting in minor oil spill in engine room and blackout.",null,Q1 - 2023,Singapore,null,Fire safety,7114,"Remote Means of control (opening,pumps,ventilation,etc.) Machinery spaces",null,17,660,null,null,null,null,null,null,null,01-05-25,Eastern Spiraea,Tanker,"Fujian Southeast Shipbuilding Co., Ltd.,",null,2.83,null,668,null,Wet,Tanker,Liberia,EGPN Bulk Carrier Co Limited,null,SDAS
2025-04-29T12:09:56.98Z,null,null,null,null,null,Paris MOU,null,United Kingdom,null,null,1,null,null,null,9256298,null,24-08-23,null,null,null,null,null,"Corrective action taken on the ISM system by the Company is required within 3 months. Deficiency(s) marked ISM is (are)
objective evidence of a failure, or lack of effectiveness, of the implementation of the ISM Code. The ship will be eligible for
reinspection after 3 months from the final date of the report.",null,Q3 - 2023,Isle of Grain,null,null,null,null,null,21,686,null,null,null,null,null,null,null,31-01-24,Maersk Kalea,Tanker,"Guangzhou Shipyard International Co Ltd, China",null,21.21,null,693,null,Wet,Tanker,Singapore,Maersk,null,SDAS
2025-04-29T12:09:51.371Z, , , ,null,NA,Vina del Mar,NA,Peru,null,0,0,null,null,NA,9321873,null,08-04-25,PSC,Omar Almarafi,Vinod P Nair,Sandeep Chowdhary,Indian,Nil findings,MOL GROUP – MITSUI O.S.K. LINES,Q2 - 2025,Callao, ,0,NA,0,MOL Chemical Tanker Pte. Ltd,null,SNPL2025PSC041,null,null, ,null,NA,Mahesh Kulkarni,Jagdish Nandurkar,01-05-25,Ginga Jaguar,Tanker,"Shin Kurushima Dockyard Co., Ltd",null,19.66,null,null,null,Wet,Tanker,Panama,MOL Group – Mitsui OSK Lines,null,SNPL
2025-04-29T12:09:51.371Z,null,null,null,null,NA,USCG,NA,United States of America,null,0,0,null,null,NA,9402794,null,02-04-25,PSC,Rachel Thompson,Capt. Vibhor Mittal,Swapnil Gujlore,Indian,Nil findings,United Overseas Management,Q2 - 2025,Houston,null,0,NA,0,UOG PHOENIX LLC,null,SNPL2025PSC039,null,null,null,null,NA,Mr. Bhooshan Gupte,Mr. Pankaj Singh,01-05-25,UOG Phoenix,Tanker,"Onomichi Ship yard, Japan",null,15.06,null,null,null,Wet,Tanker,Marshall Islands,United Overseas Management,No,SNPL
2025-04-29T12:09:51.37Z,null,null,null,null,null,Tokyo MoU,null,Canada,null,null,1,null,null,null,9367401,null,27-02-25,PSC,Raman Bhalla ,Capt. Ashutosh Manoli,Capt. Pushpendra Jha,Indian,"Galley drain covers along with its mesh found missing, leading to a potential slip trip and fall. Master instructed to rectify deficiency within two months.",Tufton Asset Management,Q1 - 2025,Vancouver,null,Other,99101,Other safety in general,ST7 Limited,99,SNPL2025PSC026,null,null,null,null,null,Mahesh Kulkarni,Santosh Kumar,01-05-25,Orchid Madeira,Tanker,Usuki Shipyard Co. Ltd.,null,16.23,null,null,null,Wet,Tanker,Marshall Islands,Tufton Asset Management,null,SNPL
2025-04-29T12:09:51.239Z,null,null,null,null,NA,Tokyo MoU,NA,South Korea,null,null,1,null,null,NA,9791183,null,27-06-24,PSC,"Cho, Kyung Min",Capt. Vinod P Nair,Capt. Santosh Gupta,Indian,Magnetic compass bearing -40 degrees difference with bridge and life boat installed.,NISSEN Kaiun KK,Q2 - 2024,Ulsan,null,Safety of Navigation,10105,Magnetic compass,GRACE OCEAN PRIVATE LIMITED,16,SNPL2024PSC101,null,null,null,null,NA,Manas Ray,Vidyadhar Vidya,01-05-25,Fairchem Loyalty,Tanker,"Shin Kurushima Dockyard Co., Ltd",null,6.29,null,null,null,Wet,Tanker,Singapore,Grace Ocean Pte Ltd,null,SNPL
2025-04-29T12:09:51.239Z,null,null,null,null,NA,Tokyo MoU,NA,South Korea,null,null,1,null,null,NA,9791183,null,27-06-24,PSC,"Cho, Kyung Min",Capt. Vinod P Nair,Capt. Santosh Gupta,Indian,"Work and rest hour not recorded properly, fire drill for crew change may not attached on work and rest hour record.",NISSEN Kaiun KK,Q2 - 2024,Ulsan,null,Conditions of employment,18202,Legal documentation on work and rest hours,GRACE OCEAN PRIVATE LIMITED,99,SNPL2024PSC101,null,null,null,null,NA,Manas Ray,Vidyadhar Vidya,01-05-25,Fairchem Loyalty,Tanker,"Shin Kurushima Dockyard Co., Ltd",null,6.29,null,null,null,Wet,Tanker,Singapore,Grace Ocean Pte Ltd,null,SNPL
2025-04-29T12:09:51.181Z,null,null,null,null,NA,Paris MoU,NA,Belgium,null,0,0,null,null,NA,9941295,null,29-04-24,PSC,Mounir Benkhedda,Vinod P Nair,Jasmer Singh,Indian,Nil findings,NISSEN Kaiun KK,Q2 - 2024,Antwerp,null,0,NA,NA,NISSEN Kaiun KK,NA,SNPL2024PSC065,null,null,null,null,NA,Mahesh Kulkarni,Santosh Kumar,01-05-25,Nord Master,Tanker,"Hyundai Mipo Dockyard Co,Ltd",null,2.67,null,null,null,Wet,Tanker,Panama,NISSEN Kaiun KK,null,SNPL
2025-04-29T12:09:51.19Z,Active,null,null,null,NA,Tokyo MoU,NA,Malaysia,null,0,0,null,null,NA,9311256,B,16-05-24,PSC,Debwood,Capt. Ashutosh Manoli,Capt. Pushpendra Jha,Indian,NA,Tufton Asset Management,Q2 - 2024,Penang,null,NA,NA,NA,Fuchsia Shipping Limited,NA,SNPL2024PSC072,null,null,null,null,NA,Manas Ray,Krunal Ramesh,23-04-25,Monax,Tanker,USUKI SHIPYARD CO. LTD.,null,19.81,null,null,null,Wet,Tanker,Marshall Islands,Tufton Asset Management,null,SNPL
2025-04-29T12:09:51.181Z,null,null,null,null,NA,Paris MoU,NA,Canada,null,null,1,null,null,NA,9875501,null,25-04-24,PSC,Girmeet Ahuja,Capt. Vinod P Nair,Capt. Manish Singh,Indian,Tools Listed in Ships Specific Emeregency Towing Procedure could not be located during the inspection.,NISSEN Kaiun KK,Q2 - 2024,Vancouver,null,Emergency Systems,4107,Emergency towing arrangements and procedures,NISSEN Kaiun KK,16,SNPL2024PSC064,null,null,null,null,NA,Manas Ray,Vidyadhar Vaidya,01-05-25,Tsurugi Galaxy,Tanker,"Shin Kurushima Dockyard Co., Ltd",null,5.08,null,null,null,Wet,Tanker,Panama,NISSEN Kaiun KK,null,SNPL
2025-04-29T12:09:51.186Z,null,null,null,null,NA,Transport Canada,NA,Canada,null,null,1,null,null,NA,9458822,null,06-05-24,PSC,Zroud Hicham,Capt.Vibhor Mittal,Capt. Vikrant Singh,"Indian, Romanian, Venezuelan",No 2 Generator air starter solenoid valve secured with electric tape.,United Overseas Management,Q2 - 2024,Montreal,null,Propulsion and auxiliary machinery,13102,Auxiliary engine,United Overseas Management,10,SNPL2024PSC068,null,null,null,null,NA,Asish Sanyal,Pankaj Singh,01-05-25,UACC Manama,Tanker,"SLS SHIPBUILDING CO., LTD.- Tong Yeong, South Korea",null,14.59,null,null,null,Wet,Tanker,Marshall Islands,United Overseas Management,null,SNPL
2025-04-29T12:09:51.181Z,null,null,null,null,null,Paris MoU,null,Poland,null,null,1,null,null,null,9360960,null,26-04-24,PSC,Sylwester Wlodarz,Capt. Ashutosh Manoli,Capt. Velan D'Costa,Indian,"Record of equipment (Form B) - item 2.6.2 (AIS-SART) marked as NOT APPLICABLE, while vessel is provided with one AIS-SART and one SART.",Tufton Asset Management,Q2 - 2024,Szczecin,null,Certificates & Documentation - Ship Certificate,1104,Cargo ship safety radio (including exemption),ST7 Limited,16,SNPL2024PSC062,null,null,null,null,null,Mahesh Kulkarni,Krunal Ramesh,01-05-25,City Island,Tanker,"Fukuoka Shipbuilding, Japan",null,19.85,null,null,null,Wet,Tanker,Marshall Islands,Tufton Asset Management,null,SNPL
2025-04-29T12:09:51.19Z,null,null,null,null,NA,USCG,NA,United States of America,null,0,0,null,null,NA,9458822,null,17-05-24,PSC,Lijo Kaitlyn M,Capt.Vibhor Mittal,Capt. Vikrant Singh,"Indian, Romanian, Venezuelan",Nil findings,United Overseas Management,Q2 - 2024,New York,null,NA,NA,NA,United Overseas Management,NA,SNPL2024PSC073,null,null,null,null,NA,Asish Sanyal,Pankaj Singh,01-05-25,UACC Manama,Tanker,"SLS SHIPBUILDING CO., LTD.- Tong Yeong, South Korea",null,14.59,null,null,null,Wet,Tanker,Marshall Islands,United Overseas Management,null,SNPL
2025-04-29T12:09:51.093Z,null,null,null,null,#REF!,Asia Pacific MoU,null,China,null,1,1,null,null,null,9489065,null,07-03-24,PSC,"Shi Xiaolei, MA liangbin",Vinod P Nair,Capt. Vikrant Singh,Indian,THE SWITCH VALVE ON THE STARBOARD SLOP TANK IS DAMAGED,United Overseas Management,Q1 - 2024,Yangpu Economic Development Zone,null,Structural condition,2107,"Ballast, fuel and other tanks",ATNY Masafi LLC,17,SNPL2024PSC034,null,null,null,null,null,Jugal Toshniwal,Abhilash Jha,01-05-25,UOG Lamyra,Tanker,Shina SB Shipyard,null,12.7,null,null,null,Wet,Tanker,Marshall Islands,United Overseas Management,null,SNPL
2025-04-29T12:09:50.96Z,null,null,null,null,null,Paris MOU,Due to frequent use of the fire door on Accommodation B-deck the self-closing hydraulic door closure pressure was reduced which resulted in the door not getting closed completely. Upon being pointed out the self-closing device was adjusted immediately in presence of inspector to ensure the fire door closed properly. The adjustment was carried out by using the adjustment screw on the self-closing device. The inspector after witnessing the fire door getting closed completely downgraded the deficiency as rectified before departure.,Canada,null,6,1,null,null,"Vessel arrived at Vancouver on 14th November 2023 for loading her nominated cargo. The Company’s Computerized PMS contains weekly, Monthly, and 3 Monthly maintenance jobs for Fire doors. Positive pressure was maintained effectively within in the accommodation spaces throughout the port stay. The same was verified by the inspector. The Fire Door referred to in the Observation was in a closed condition at the time of the inspection; however, when the Inspector was trying it out, he found that the hydraulic door closer was not completely effective.",9942653,null,15-11-23,PSC,Raman Bhalla,Capt. Ashutosh Manoli,Capt. Santoshkumar Gupta,Indian,"Fire door at accommodation deck (midship), on B deck not closing 
properly at the time of inspection.",MOL (India) Pvt Ltd,Q4 - 2023,Vancouver,null,Fire safety,7105,Fire doors/openings in fire-resisting divisions,KYOWA KISEN CO. LTD,17-Oct,SNPL2023PSC155,null,null,null,null,"To prevent recurrence the Master has carried out a briefing of all the ship staff. All crew have been advised to report such deficiencies in a timely manner. Safety officer was instructed to carry out thorough inspection of all fire doors during weekly rounds and to rectify the fault immediately in case the fire doors are not closing completely. Taking a serious note, the deficiency has also been circulated within the fleet vessels to ensure that such conditions are identified and same rectified immediately.",Mahesh Kulkarni ,Naren Joshi,01-05-25,Kamui Galaxy,Tanker,Shin Kurushima Dockyard,null,2.46,null,null,null,Wet,Tanker,Panama,NISSEN Kaiun KK,null,SNPL
2025-04-29T12:09:51.077Z,null,null,null,null,NA,Tokyo MoU,NA,Peru,null,0,0,null,null,NA,9360960,null,09-12-23,PSC,De Corbeta,Capt. Ashutosh Manoli,Capt. Velan DCosta,Indian,Nil findings,Tufton Asset Management,Q4 - 2023,Callao,null,0,NA,NA,ST7 Limited,NA,SNPL2023PSC173,null,null,null,null,NA,Mahesh Kulkarni,Krunal Garud,01-05-25,City Island,Tanker,"Fukuoka Shipbuilding, Japan",null,19.85,null,null,null,Wet,Tanker,Marshall Islands,Tufton Asset Management,null,SNPL
2025-04-29T12:09:51.08Z,null,null,null,null,null,Paris MoU,"The root causes of the finding include:
•	Failure to follow procedures as per Fuel Management Plan Ch 7.1
•	Inadequate supervision and checks by the senior engineers.
",Netherlands,null,null,1,null,null,"-	Upon identification of the omission by the inspector, immediate corrective measures were implemented. The missing logbook entries were promptly completed",9458822,null,11-01-24,PSC,Willem van Schothorst,Capt. Vinod P Nair,Capt. Vikrant Singh,Indian,Wrong entries (HSFO and LSFO content) were used in FOBAS calculator when ship was entering SECA 1st jan 2024. The volume of each low sulpher fuel tank was not written in engineroom log book when changing over 1st of jan 2024.,United Overseas Management,Q1 - 2024,Rotterdam,null,Pollution Prevention - MARPOL Annex VI,14615,Fuel change-over procedure,ATNY MANAMA LLC,17,SNPL2024PSC007,null,null,null,null,"-	To prevent similar oversights in the future, The ship's staff received a comprehensive briefing by the company Superintendents, emphasizing the importance of meticulous logbook record-keeping to prevent such oversights. Training was conducted to reinforce awareness regarding the critical importance of accurate logbook entries. U932-	Upon identification of the observation by the inspector, concerns were raised by the Master with the shore office.  
-	The three Supernumeraries on board were temporarily hired on board as part of riding crew and provided with a separate contract to join the vessel. MI country flag was consulted and confirmed that supernumeraries were not considered as ship’s crew, therefore a Seafarer’s employment agreement is not applicable for them. 
-	The same was verified and confirmed by the attending Class Surveyor
-	However, in consideration of the observation, it was collectively decided to sign off these supernumeraries on an immediate basis, ensuring compliance and transparency in accordance with all relevant regulations.
",Jugal Toshniwal,Pankaj  Singh,01-05-25,UACC Manama,Tanker,SLS Shipbuilding Korea,null,14.59,null,null,null,Wet,Tanker,Marshall Islands,United Overseas Management,null,SNPL
2025-04-29T12:09:51.085Z,null,null,null,null,null,Tokyo MoU,"Company SMS duly covers the requirements for safe access between ship and shore. It also includes 
guidelines and risk assessment for safe rigging of the gangway and safety net to be used below the 
Gangway as part of the safe access. 
After vessels arrival at the port of inspection, ships gangway was rigged as means of access. The 
gangway was also covered with the safety net as part of the safe access requirement. The rigging of 
gangway and safety net has been verified by the PSC inspector during boarding. 
However, the safety net used below gangway was covering the area between shipside and gangway 
to shorter length. It was noted to be not having clear run to broadly cover the area between shipside 
to gangway extremities. Same was noticed by the inspector and raised as an deficiency under code 
17.",Thailand,null,null,1,null,null,"Immediately after the deficiency was raised, corrective action was taken by connecting the spare 
safety net with In-use safety net. Thereafter, safety net was rigged properly to cover the area 
completely between shipside to gangway and below the gangway. Same was verified by the inspector 
prior departure and deficiency was marked as corrected with code 10. ",9783904,null,22-01-24,PSC,Suphon J,Ashutosh Manoli,Capt. Sunil Gade,Indian,Safety net for gangway not be cover completely.,Pusaka Laut Pte Ltd,Q1 - 2024,Petchburi,null,ISPS,16105,Access control to ship,pusaka Laut Pte Ltd,17,SNPL2024PSC011,null,null,null,null,"Additionally, requisition was raised for supply of the new gangway net of larger area to properly cover 
the area below gangway and between shipside and gangway. In the meantime, risk assessment was 
carried out for use of present safety net. The present safety net is being inspected regularly and prior 
every use to verify its condition till the time new safety is supplied to the vessel. 
After departure from the port, Marine superintendent carried out the briefing of the Master and 
senior officer on the importance of properly rigging of the gangway safety net. It was also conveyed 
that the regular checks to be carried out to verify the means of safe access and any shortcomings to 
be informed to office immediately to take corrective action. 
 The deficiency has been shared among the fleet vessels to avoid recurrence. ",Manas Ray,Santosh Kulkarni,01-05-25,Pusaka Borneo,Tanker,"Tsuneishi Shipbuilding Co., Ltd , Japan",null,6.48,null,null,null,Wet,Tanker,Singapore,Singastar Pte Ltd,null,SNPL
2025-04-29T12:09:50.959Z,null,null,null,null,NA,Tokyo MoU,NA,Indonesia,null,0,0,null,null,NA,9829758,null,05-10-23,PSC,Capt. Dedy,Capt. Ashutosh Manoli,Capt. Deepak Kumar,Indian,Nil findings,Fairfield Chemical Carriers,Q4 - 2023,Gresik,null,0,NA,NA,"Polaris Line Co., Inc",null,SNPL2023PSC134,null,null,null,null,NA,Manas Ray,Ameya Joshi,01-05-25,Ginga Copper,Tanker,"Fukuoka Shipbuilding, Japan",null,1.57,null,null,null,Wet,Tanker,Marshall Islands,Fairfield Chemical Carriers,null,SNPL
2025-04-29T12:09:30.359Z,Inactive,null,null,null,Ch IV/Navigation- (Passage Planning),AMSA,Inadequate supervision by senior management wherein the tasks allocated to operational staff required to be monitored and suitable action plan implemented. In this case personnel in charge of updating of charts/publications onboard required to be instructed with the requirement to keep ECDIS back up system updated.,Australia,null,null,1,null,null,"Bridge team meeting held and requirement to keep ECDIS back up system always updated briefed. 
An additional barrier enforced by way of secondary personnel allocated with same duties of updating the charts/publications so that effective implementation is completed.",9659830,Fleet C,13-05-22,PSC,null,Ajith Kumar,Xiuming Dai,Chinese,Back up arrangement for electronic nautical publication not corrected up to date,Shoei,Q2 - 2022,Newcastle,null,Safety of Navigation,10116,Nautical publications,Luster Maritime S.A.,17,22PSC054,null,null,null,null,"Master briefed with the gravity of the defect.
Master’s Handing over notes proposed to include physical checks with Incoming Master for status of charts/publications onboard. 
Back up software provider CC Marine proposed whether they can send reminders on vessel in case of charts requiring updating as an when required.
Defect circulated among all vessels for awareness and to prevent similar re-occurrence.",Umesh Iyengar,Feng Yong,01-05-25,KM Hakata,Bulk Carrier,"IMABARI SHIPBUILDING CO., LTD. MARUGAME",null,11.37,null,null,null,Dry,Bulk Carrier,Panama,Shoei Kisen KK,null,SMSL
2025-04-29T12:09:30.365Z,Inactive,null,null,null,Ch X/ Engine & Steering Compartment- (Loose Gears),Paris MOU,Leakage of Spring loaded valve due to accumulation of dirt between valave and valve seat and lack of crew awarness.,Belgium,null,null,1,null,null,null,9691577,Fleet A,09-08-22,PSC,Yves De Muynck & Claus Heyvaerts,Ajith Kumar,Paurush Kumar Singh,Filipino,Spring loaded drain valve for emergency fire pump space in the steering gear room ( located tanktop ER aft) found not sealing. A second manual valve has been fitted to stop the leak.,OMCS,Q3 - 2022,Gent,null,Water/Weathertight condition,3112,"Scuppers, inlets and discharges",OMC Shipping Pte Ltd.,17,22PSC085,null,null,null,null,Manual valve to be removed and spring loaded valve to be overhauled for proper sealing,Saji Kumar,Anish Balakrishnan,31-08-22,Bulk Finland,Bulk Carrier,IMABARI SHIPBUILDING CO LTD,null,10.84,null,null,null,Dry,Bulk Carrier,Singapore,OMC Shipping Pte Ltd,null,SMSL
2025-04-29T12:09:50.734Z, , , ,null,NA,USCG,NA,United States of America,null,0,0,null,null,NA,9304306,null,27-06-22,PSC,Sam Creashan,Yazad Boomla,Amit Kumar,Indian,Nil findings,Tufton Asset Management,Q2 - 2022,NOLA, ,0,NA,NA,ASL Americas Shipping Limited,NA,SNPL2022PSC050,null,null, ,null,NA,Sunil Bhardwaj,Bijesh KS,01-12-23,Orchid Americas,Tanker,Usuki shipyard Co. Ltd,null,20.69,null,null,null,Wet,Tanker,Marshall Islands,Tufton Asset Management,null,SNPL
2025-04-29T12:09:50.734Z, , , ,null,NA,Paris MOU,NA,Spain,null,0,0,null,null,NA,9783899,null,02-07-22,PSC,Emilio Villanueva,Vinod Nair,Ashutosh Manoli,Indian,Nil findings,Pusaka Laut Pte Ltd,Q3 - 2022,Cartagena, ,0,NA,NA,Pusaka Laut Pte Ltd.,NA,SNPL2022PSC052,null,null, ,null,NA,Manas Ray,Santhosh Kulkarni,23-09-24,Pusaka Java,Tanker,Tsuneishi Shipbuilding ,null,7.3,null,null,null,Wet,Tanker,Singapore,Singastar Pte Ltd,null,SNPL
